texto,nota,id,data,sentimento,tiposentimento,domain_id
Ótimo produto.,5,MLB41543740,2025-11-30T00:00:00,0.3612,Positivo,MLB-ELECTRICAL_OUTLETS
Ainda não testei mais veio tudo certo.,5,MLB41543740,2025-06-21T00:00:00,-0.0258,Neutro,MLB-ELECTRICAL_OUTLETS
"A tomada elétrica destacase pelo ótimo custobenefício e facilidade de instalação e configuração. É compatível com assistentes virtuais como Alexa, o que facilita o uso no dia a dia. Além disso, a sincronização com o aplicativo é simples e o funcionamento é considerado excelente.",5,MLB41543740,2025-11-20T00:00:00,0.8979,Positivo,MLB-ELECTRICAL_OUTLETS
"Ótimo interruptor, gostei recomendo. Fácil instalação, conecta facilmente com o dispositivo alexa. Gostei do time pré-configurado, caso seja esquecido ligado, desliga sozinha, gostei, portanto se viajar e esquecer ligado a lâmpada, nao será mais problema desliga sozinha, recomendo, fácil instalação e configuração. Para mim conseguir com mais facilidade o aplicativo izy smart com ele foi rapinho a conexão com o aplicativo alexa.",5,MLB41543740,2025-11-25T00:00:00,0.9423,Positivo,MLB-ELECTRICAL_OUTLETS
Quem comprou foi outra pessoa.,5,MLB29377673,2024-07-14T00:00:00,0.0,Neutro,MLB-ELECTRICAL_OUTLETS
"A compatibilidade com assistentes virtuais como Alexa e a capacidade de programar timers são características apreciadas. Além disso, a versatilidade e praticidade do produto são frequentemente mencionadas, tornandoo uma escolha popular para automação residencial.",5,MLB46189709,2025-11-20T00:00:00,0.296,Positivo,MLB-ELECTRICAL_OUTLETS
"Ótimo, funciona com o app da tuya que é otimo, o único problema é que é tão bom isso, que da vontade de vc sair metendo tomada smart em tudo pra saber o consumo.",5,MLB46189709,2025-08-19T00:00:00,0.6361,Positivo,MLB-ELECTRICAL_OUTLETS
Adorei.,5,MLB42947569,2025-08-14T00:00:00,0.0,Neutro,MLB-ELECTRICAL_OUTLETS
Excelente.,5,MLB42947569,2025-10-05T00:00:00,0.6249,Positivo,MLB-ELECTRICAL_OUTLETS
Top.,5,MLB42947569,2025-10-07T00:00:00,0.0,Neutro,MLB-ELECTRICAL_OUTLETS
Produto de qualidade.,5,MLB42947569,2025-10-16T00:00:00,0.0,Neutro,MLB-ELECTRICAL_OUTLETS
Muito bom.,5,MLB42947569,2025-10-16T00:00:00,0.4215,Positivo,MLB-ELECTRICAL_OUTLETS
Ótimo!.,5,MLB42947569,2025-10-27T00:00:00,0.0,Neutro,MLB-ELECTRICAL_OUTLETS
Ótimo produto.,4,MLB42947569,2025-11-03T00:00:00,0.3612,Positivo,MLB-ELECTRICAL_OUTLETS
Produto excelente. Espelho é vidro muito bem acabado.,5,MLB42947569,2025-11-08T00:00:00,0.7351,Positivo,MLB-ELECTRICAL_OUTLETS
"A tomada é boa, o app também. Vale observar que é uma tomada e uma luz independentes. Eu precisei fazer uma adaptação, porque a caixa era de metal. E quase deu curto na hora da instalação, porque atrás da tomada é grande. E o parafuso escostou na caixa de metal. Assim, fazendo essa adaptação com a de plástico, deu tudo certo.",5,MLB42947569,2025-11-15T00:00:00,0.7506,Positivo,MLB-ELECTRICAL_OUTLETS
"O produto é elogiado pela sua alta qualidade e facilidade de instalação, sendo recomendado para quem deseja automatizar a residência. O custobenefício é considerado ótimo, e a integração com assistentes virtuais como Alexa é destacada como uma vantagem significativa. Além disso, o funcionamento e a configuração são descritos como simples e eficazes.",5,MLB42947569,2025-11-20T00:00:00,0.9042,Positivo,MLB-ELECTRICAL_OUTLETS
"Tomada está um pouco acima do preços de algumas concorrentes, porém da linha já tenho outras em casa, então para manter no mesmo app decidi por ela. A qualidade da construção é ótima. Tomada também de ótimo encaixe. Pode ser cortada a energia via app.",5,MLB42947569,2025-01-06T00:00:00,0.4497,Positivo,MLB-ELECTRICAL_OUTLETS
"Tomada boa de fácil instalação, sem complicações.",5,MLB22663877,2024-02-04T00:00:00,0.7003,Positivo,MLB-ELECTRICAL_OUTLETS
"Ótimo produto fácil instalar e configurar vi relatos de outra marca que ficava sempre perdendo configuração e rendo que reiniciar, comprei essa marca e deu bom até agora sem. Problemas.",5,MLB22663877,2024-02-11T00:00:00,0.3818,Positivo,MLB-ELECTRICAL_OUTLETS
Estou utilizando o produto a alguns dias e tem atendido à minha necessidade.,5,MLB22663877,2024-11-26T00:00:00,0.0,Neutro,MLB-ELECTRICAL_OUTLETS
Duraram somente 1 ano.,4,MLB22663877,2025-03-11T00:00:00,0.0,Neutro,MLB-ELECTRICAL_OUTLETS
Bom produto.,5,MLB22663877,2025-10-09T00:00:00,0.4215,Positivo,MLB-ELECTRICAL_OUTLETS
Muito bom.,5,MLB22663877,2025-10-11T00:00:00,0.4215,Positivo,MLB-ELECTRICAL_OUTLETS
Adorei.,4,MLB22663877,2025-10-27T00:00:00,0.0,Neutro,MLB-ELECTRICAL_OUTLETS
Nossa facilitou muito!.,5,MLB22663877,2023-05-07T00:00:00,0.0,Neutro,MLB-ELECTRICAL_OUTLETS
"Produto top vale super a pena, indico para todos. Minha alexa adorou rs.",5,MLB22663877,2024-01-05T00:00:00,0.2732,Positivo,MLB-ELECTRICAL_OUTLETS
"Show , super recomendo !.",5,MLB22663877,2025-11-06T00:00:00,0.7712,Positivo,MLB-ELECTRICAL_OUTLETS
"A tomada elétrica inteligente é elogiada pela facilidade de instalação e configuração, além de ser compatível com Alexa e Smart Life. O aplicativo associado é descrito como simples e intuitivo, permitindo um controle eficiente dos eletrodomésticos.",5,MLB22663877,2025-11-20T00:00:00,0.7906,Positivo,MLB-ELECTRICAL_OUTLETS
"Excelentes tomadas, automatizei o micro-ondas e as tvs de casa, compatível com alexa e smart life, super recomendo. Ótimo produto, fácil de utilizar, recomendo bastante!.",5,MLB22663877,2023-08-09T00:00:00,0.9273,Positivo,MLB-ELECTRICAL_OUTLETS
Top. Funciona perfeitamente.,5,MLB37847327,2025-07-20T00:00:00,0.6369,Positivo,MLB-ELECTRICAL_OUTLETS
"Ótimo, 😁.",5,MLB37847327,2025-10-06T00:00:00,0.3612,Positivo,MLB-ELECTRICAL_OUTLETS
"O fabricante dispensa comentários. Excelente produto de ótima qualidade, além do design fantástico!.",5,MLB37847327,2025-11-09T00:00:00,0.6588,Positivo,MLB-ELECTRICAL_OUTLETS
"O dimmer destacase pela fácil conexão e configuração, além de um excelente acabamento, sendo compatível com assistentes de voz como Alexa. O produto é elogiado pelo ótimo custobenefício e pela qualidade, funcionando perfeitamente com o aplicativo Ekaza.",5,MLB37847327,2025-11-20T00:00:00,0.9509,Positivo,MLB-ELECTRICAL_OUTLETS
É útil,5,MLB37847327,2024-02-07T00:00:00,0.4404,Positivo,MLB-ELECTRICAL_OUTLETS
Vale a pena.,4,MLB25133273,2025-03-24T00:00:00,-0.296,Negativo,MLB-ELECTRICAL_OUTLETS
"100%! resolvi o problema do ar-condicionado sem controle, agora dá pra controlar pela alexa. Recomendo!.",5,MLB25133273,2025-08-31T00:00:00,-0.508,Negativo,MLB-ELECTRICAL_OUTLETS
Bom.,5,MLB25133273,2025-09-24T00:00:00,0.4215,Positivo,MLB-ELECTRICAL_OUTLETS
Top.,5,MLB25133273,2025-10-04T00:00:00,0.0,Neutro,MLB-ELECTRICAL_OUTLETS
Ótimo produto.,5,MLB25133273,2025-10-06T00:00:00,0.3612,Positivo,MLB-ELECTRICAL_OUTLETS
Show.,5,MLB25133273,2025-10-10T00:00:00,0.0,Neutro,MLB-ELECTRICAL_OUTLETS
Bom.,5,MLB25133273,2025-11-18T00:00:00,0.4215,Positivo,MLB-ELECTRICAL_OUTLETS
Já instalado. Funcionando perfeitamente. Software de fácil conexão.,5,MLB25133273,2025-11-21T00:00:00,0.7964,Positivo,MLB-ELECTRICAL_OUTLETS
"A tomada elétrica destacase pela ótima qualidade e excelente custobenefício. O aplicativo associado é intuitivo, facilitando o uso. Além disso, é compatível com assistentes virtuais como Alexa e Google Home.",5,MLB25133273,2025-11-20T00:00:00,0.6249,Positivo,MLB-ELECTRICAL_OUTLETS
Muito bom!.,5,MLB25133273,2024-04-19T00:00:00,0.0,Neutro,MLB-ELECTRICAL_OUTLETS
O produto não funcionou.,1,MLB23967456,2024-04-04T00:00:00,-0.296,Negativo,MLB-ELECTRICAL_OUTLETS
Melhor opção do mercado.,5,MLB23967456,2025-02-14T00:00:00,0.4404,Positivo,MLB-ELECTRICAL_OUTLETS
"Boa! programação ok para ligar air fryer, etc.",5,MLB41592496,2025-10-06T00:00:00,0.5411,Positivo,MLB-ELECTRICAL_OUTLETS
Usei e funcionou perfeitamente.,5,MLB41592496,2025-10-13T00:00:00,0.6369,Positivo,MLB-ELECTRICAL_OUTLETS
Recomendo.,5,MLB41592496,2025-10-13T00:00:00,0.3612,Positivo,MLB-ELECTRICAL_OUTLETS
Boa.,5,MLB41592496,2025-11-04T00:00:00,0.4404,Positivo,MLB-ELECTRICAL_OUTLETS
"Fácil instalação na parede, a caixa que fica atrás da tomada ocupa bastante o espação interno da caixa, caso tenha mais cabos na caixa ficará bem justo. Configuração no app do produto fácil e rápido.",5,MLB41592496,2025-11-14T00:00:00,0.875,Positivo,MLB-ELECTRICAL_OUTLETS
Excelente produto. Atende perfeitamente as necessidades e funciona de forma excelente.,5,MLB41592496,2025-11-20T00:00:00,0.9246,Positivo,MLB-ELECTRICAL_OUTLETS
Superou as expectativas.,5,MLB41592496,2025-11-22T00:00:00,0.0,Neutro,MLB-ELECTRICAL_OUTLETS
Invenção de gênio! excelente.,5,MLB41592496,2025-11-24T00:00:00,0.6588,Positivo,MLB-ELECTRICAL_OUTLETS
"Facinha de instalar, se vc nao tem intimidade com elétrica nem faça, chame um profissional, amei agora nao preciso usar adaptador pro meu microondas/airfrayer. Recomendo!!!. Facinho configurar no app smartlife. Quando vc for add um novo disposotivo, a tomada ja vai ta la te esperando pra confirmar e prontinho. Vc monitora a voltagem, amperes, consumo enfim, liga desliga e tudo mais. Amei!!.",5,MLB41592496,2025-08-14T00:00:00,-0.6776,Negativo,MLB-ELECTRICAL_OUTLETS
Bem prático e fácil de instalar.,5,MLB41592496,2025-10-13T00:00:00,0.6124,Positivo,MLB-ELECTRICAL_OUTLETS
"Perfeita, funciona super bem, fácil instalação.",5,MLB41592496,2025-11-09T00:00:00,0.8834,Positivo,MLB-ELECTRICAL_OUTLETS
Tem que ficar atento as limitações de potência dela.,5,MLB41592496,2025-11-18T00:00:00,0.0,Neutro,MLB-ELECTRICAL_OUTLETS
Mede o consumo do ar.,5,MLB41592496,2025-11-27T00:00:00,0.0,Neutro,MLB-ELECTRICAL_OUTLETS
"A tomada elétrica é elogiada por sua praticidade e facilidade de instalação, sendo recomendada por muitos. Funciona perfeitamente e é fácil de configurar através do aplicativo Smartlife.",5,MLB41592496,2025-11-20T00:00:00,0.8625,Positivo,MLB-ELECTRICAL_OUTLETS
O material e de primeira parabéns gostei muito 👏👏👏👏👏👏👏👏👏👏👏👏👏.,5,MLB41592496,2025-11-15T00:00:00,0.7717,Positivo,MLB-ELECTRICAL_OUTLETS
Perfeito.,5,MLB22948663,2025-10-06T00:00:00,0.3182,Positivo,MLB-ELECTRICAL_OUTLETS
Ótimo produto!.,5,MLB22948663,2025-10-17T00:00:00,0.4199,Positivo,MLB-ELECTRICAL_OUTLETS
"Ótimo equipamento, atende a todas as informações passadas na hora da venda.",5,MLB22948663,2025-10-18T00:00:00,0.25,Positivo,MLB-ELECTRICAL_OUTLETS
Atende o que preciso perfeitamente.,5,MLB22948663,2025-10-31T00:00:00,0.6369,Positivo,MLB-ELECTRICAL_OUTLETS
Gostei 👍.,4,MLB22948663,2025-11-02T00:00:00,0.4215,Positivo,MLB-ELECTRICAL_OUTLETS
Fácil de configurar e funciona perfeitamente com alexa.,5,MLB22948663,2025-11-12T00:00:00,0.7964,Positivo,MLB-ELECTRICAL_OUTLETS
Funciona perfeitamente.,5,MLB22948663,2025-10-03T00:00:00,0.6369,Positivo,MLB-ELECTRICAL_OUTLETS
Produto excelente.,5,MLB22948663,2025-10-03T00:00:00,0.6249,Positivo,MLB-ELECTRICAL_OUTLETS
Consegui automatizar para algumas funções. Ficou top.,5,MLB22948663,2025-11-03T00:00:00,-0.1531,Negativo,MLB-ELECTRICAL_OUTLETS
"Muito top, funciona remotamente.",5,MLB22948663,2025-11-11T00:00:00,0.0,Neutro,MLB-ELECTRICAL_OUTLETS
"Já conheço este produto. Meu irmão tem e programou para o cafezinho da manhã, fiz mesmo, liguei na cafeteira. Excelente, e recomendo dependendo do que irá controlar.",5,MLB22948663,2025-11-13T00:00:00,0.7184,Positivo,MLB-ELECTRICAL_OUTLETS
"Automatizei meu ar condicionado de janela e ficou muito bom ,liga e desliga pelo celular , recomendo !.",5,MLB22948663,2025-11-18T00:00:00,0.68,Positivo,MLB-ELECTRICAL_OUTLETS
"A tomada inteligente é elogiada por sua funcionalidade remota e integração com dispositivos como Google e Alexa. Destacase pela capacidade de automatizar aparelhos, como ar condicionado, proporcionando conveniência e controle via celular. O produto atende bem às expectativas e especificações anunciadas.",5,MLB22948663,2025-11-20T00:00:00,0.765,Positivo,MLB-ELECTRICAL_OUTLETS
Td ok. Recomendo a todos. Excelente.,5,MLB22948663,2025-11-20T00:00:00,0.8176,Positivo,MLB-ELECTRICAL_OUTLETS
Produto funcionando normalmente mostrando a quantidade de gasto de energia ótima qualidade.,5,MLB23546136,2025-11-12T00:00:00,0.296,Positivo,MLB-ELECTRICAL_OUTLETS
Produto perfeito.,5,MLB23546136,2025-11-12T00:00:00,0.3182,Positivo,MLB-ELECTRICAL_OUTLETS
"Muito bom, fácil de instalar ,muito bom.",5,MLB23546136,2025-11-20T00:00:00,0.8176,Positivo,MLB-ELECTRICAL_OUTLETS
Muito boa a peça.,5,MLB23546136,2023-06-06T00:00:00,0.4404,Positivo,MLB-ELECTRICAL_OUTLETS
Muito boa! aplicativo bem rico e simples de usar. Facilitou a ligação de uma bomba de água.,5,MLB23546136,2025-10-14T00:00:00,0.5562,Positivo,MLB-ELECTRICAL_OUTLETS
"Bom produto, fácil instalação.",5,MLB23546136,2025-10-22T00:00:00,0.6908,Positivo,MLB-ELECTRICAL_OUTLETS
Otimo para usar em automação e criar rotinas.,5,MLB23546136,2025-11-19T00:00:00,0.2263,Positivo,MLB-ELECTRICAL_OUTLETS
Ótimo.,5,MLB23546136,2025-11-21T00:00:00,0.3612,Positivo,MLB-ELECTRICAL_OUTLETS
Recomendo!.,5,MLB23546136,2023-12-19T00:00:00,0.0,Neutro,MLB-ELECTRICAL_OUTLETS
