id,date_created,catalog_product_id,domain_id,name,main_features,quality_type,priority,type,keywords,description
MLB39171159,2024-08-08T03:12:08Z,MLB39171159,MLB-AIR_CONDITIONERS,Ar condicionado portátil Rollicool com Alexa,[],COMPLETE,MEDIUM,PRODUCT,Ar condicionado portátil Rollicool com Alexa,
MLB28037061,2023-11-08T17:16:57Z,MLB28037061,MLB-AIR_CONDITIONERS,Ar-condicionado Philco Inv 18000btus Pac18000iqfm12w,[],COMPLETE,MEDIUM,PRODUCT,Ar-condicionado Philco Inv 18000btus Pac18000iqfm12w,
MLB28834431,2023-12-13T15:22:08Z,MLB28834431,MLB-AIR_CONDITIONERS,Emerson Quiet Kool - Ar condicionado portátil,[],COMPLETE,MEDIUM,PRODUCT,Emerson Quiet Kool - Ar condicionado portátil,
MLB51925280,2025-07-02T02:24:33Z,MLB51925280,MLB-AIR_CONDITIONERS,Ar Condicionado Inverter Midea Airvolution Conect,[],COMPLETE,MEDIUM,PRODUCT,Ar Condicionado Inverter Midea Airvolution Conect,
MLB35985980,2024-04-19T22:33:25Z,MLB35985980,MLB-AIR_CONDITIONERS,Elgin Eco Inverter HJFI24C2WB ar-condicionado,[],COMPLETE,MEDIUM,PRODUCT,Elgin Eco Inverter HJFI24C2WB ar-condicionado,
MLB23222747,2023-05-12T06:21:39Z,MLB23222747,MLB-AIR_CONDITIONERS,Kit de ar condicionado Wifi branco,[],COMPLETE,MEDIUM,PRODUCT,Kit de ar condicionado Wifi branco,
MLB45867674,2025-02-03T20:32:16Z,MLB45867674,MLB-AIR_CONDITIONERS,Inversor Mabe MMI12cdbwccc9 220v 12000btu Ar condicionado,[],COMPLETE,MEDIUM,PRODUCT,Inversor Mabe MMI12cdbwccc9 220v 12000btu Ar condicionado,
MLB53428218,2025-08-05T11:31:40Z,MLB53428218,MLB-AIR_CONDITIONERS,Ar Condicionado Electrolux Split Inverter 12000btu Frio,[],COMPLETE,MEDIUM,PRODUCT,Ar Condicionado Electrolux Split Inverter 12000btu Frio,
MLB36956947,2024-05-16T08:51:17Z,MLB36956947,MLB-AIR_CONDITIONERS,Ar Condicionado Split Inverter Samsung 12.000btus Frio,[],COMPLETE,MEDIUM,PRODUCT,Ar Condicionado Split Inverter Samsung 12.000btus Frio,
MLB27238649,2023-09-23T20:29:48Z,MLB27238649,MLB-AIR_CONDITIONERS,Enxuta ar condicionado AAENXI222S-12001 cor branca,[],COMPLETE,MEDIUM,PRODUCT,Enxuta ar condicionado AAENXI222S-12001 cor branca,
MLB60334497,2025-10-17T12:14:29Z,MLB60334497,MLB-AIR_CONDITIONERS,Ar Condicionado Carrier Split Cassette Inverter 22000,[],COMPLETE,MEDIUM,PRODUCT,Ar Condicionado Carrier Split Cassette Inverter 22000,
MLB20049271,2022-12-07T17:18:31Z,MLB20049271,MLB-AIR_CONDITIONERS,Ar condicionado quente/frio York Inverter 3500w,[],COMPLETE,MEDIUM,PRODUCT,Ar condicionado quente/frio York Inverter 3500w,
MLB20545758,2022-12-10T02:09:02Z,MLB20545758,MLB-AIR_CONDITIONERS,"Ar condicionado de 12000btu, inversor digital Samsung",[],COMPLETE,MEDIUM,PRODUCT,"Ar condicionado de 12000btu, inversor digital Samsung",
MLB29417181,2023-12-31T18:08:35Z,MLB29417181,MLB-ELECTRIC_HOME_HEATERS,"Aquecedor de espaço inteligente Goveelife, aquecedor E",[],COMPLETE,MEDIUM,PRODUCT,"Aquecedor de espaço inteligente Goveelife, aquecedor E",
MLB26085789,2023-08-16T21:57:59Z,MLB26085789,MLB-ELECTRIC_HOME_HEATERS,Aquecedor Eletrico Inteligente 2200w,[],COMPLETE,MEDIUM,PRODUCT,Aquecedor Eletrico Inteligente 2200w,
MLB42639627,2024-11-04T18:46:32Z,MLB42639627,MLB-ELECTRIC_HOME_HEATERS,"Aquecedor elétrico, aquecedor doméstico WiFi inteligente com controle remoto de 1500W",[],COMPLETE,MEDIUM,PRODUCT,"Aquecedor elétrico, aquecedor doméstico WiFi inteligente com controle remoto de 1500W",
MLB39983380,2024-08-29T17:30:54Z,MLB39983380,MLB-ELECTRIC_HOME_HEATERS,Aquecedor de parede inteligente Dreo 1500W,[],COMPLETE,MEDIUM,PRODUCT,Aquecedor de parede inteligente Dreo 1500W,
MLB20662835,2022-12-13T19:23:38Z,MLB20662835,MLB-ELECTRIC_HOME_HEATERS,Aquecedor de torre inteligente Lloyd's Wifi,[],COMPLETE,MEDIUM,PRODUCT,Aquecedor de torre inteligente Lloyd's Wifi,
MLB26051587,2023-08-15T15:17:18Z,MLB26051587,MLB-ELECTRIC_HOME_HEATERS,Aquecedor Convexo Inteligente Vta+ Cor Branco,[],COMPLETE,MEDIUM,PRODUCT,Aquecedor Convexo Inteligente Vta+ Cor Branco,
MLB52139663,2025-07-08T21:40:05Z,MLB52139663,MLB-ELECTRIC_HOME_HEATERS,Aquecedor elétrico inteligente de 1500w para De 24,[],COMPLETE,MEDIUM,PRODUCT,Aquecedor elétrico inteligente de 1500w para De 24,
MLB22145672,2023-03-11T02:57:59Z,MLB22145672,MLB-ELECTRIC_HOME_HEATERS,Aquecedor de torre WiFi inteligente Lloyds Lc-1228,[],COMPLETE,MEDIUM,PRODUCT,Aquecedor de torre WiFi inteligente Lloyds Lc-1228,
MLB24198079,2023-06-28T23:12:06Z,MLB24198079,MLB-ELECTRIC_HOME_HEATERS,Combinação de aquecedor de mesa inteligente Iusa + Multicontact,[],COMPLETE,MEDIUM,PRODUCT,Combinação de aquecedor de mesa inteligente Iusa + Multicontact,
MLB37791461,2024-06-18T09:11:43Z,MLB37791461,MLB-ELECTRIC_HOME_HEATERS,"Aquecedor de espaço inteligente Goveelife Max para uso interno, 80",[],COMPLETE,MEDIUM,PRODUCT,"Aquecedor de espaço inteligente Goveelife Max para uso interno, 80",
MLB24228530,2023-07-04T06:20:53Z,MLB24228530,MLB-ELECTRIC_HOME_HEATERS,"Aquecedor de torre inteligente Lloyd's, controle a partir do aplicativo White",[],COMPLETE,MEDIUM,PRODUCT,"Aquecedor de torre inteligente Lloyd's, controle a partir do aplicativo White",
MLB58376900,2025-09-29T21:56:44Z,MLB58376900,MLB-ELECTRIC_HOME_HEATERS,Aquecedor de parede PTC elétrico inteligente com controle vermelho e branco,[],COMPLETE,MEDIUM,PRODUCT,Aquecedor de parede PTC elétrico inteligente com controle vermelho e branco,
MLB36411103,2024-05-01T00:30:55Z,MLB36411103,MLB-ELECTRIC_HOME_HEATERS,"Aquecedor de ambiente Sxycmy, aquecedor elétrico portátil",[],COMPLETE,MEDIUM,PRODUCT,"Aquecedor de ambiente Sxycmy, aquecedor elétrico portátil",
MLB36034704,2024-04-22T02:51:05Z,MLB36034704,MLB-ELECTRIC_HOME_HEATERS,"Aquecedor de ambiente Xiurei, aquecedor de mesa com 6",[],COMPLETE,MEDIUM,PRODUCT,"Aquecedor de ambiente Xiurei, aquecedor de mesa com 6",
MLB23942605,2023-06-13T06:31:56Z,MLB23942605,MLB-FANS,"Xiaomi Ventilador inteligente Mi Smart Standing 2 Estrutura de cores do ventilador inteligente: branco, número de lâminas: 7",[],COMPLETE,MEDIUM,PRODUCT,"Xiaomi Ventilador inteligente Mi Smart Standing 2 Estrutura de cores do ventilador inteligente: branco, número de lâminas: 7",
MLB44845954,2024-12-17T06:16:08Z,MLB44845954,MLB-FANS,"Ventilador inteligente Dreo para quarto, oscilação de 1",[],COMPLETE,MEDIUM,PRODUCT,"Ventilador inteligente Dreo para quarto, oscilação de 1",
MLB22031377,2023-03-05T20:12:34Z,MLB22031377,MLB-FANS,Ventilador Inteligente Wifi Magnüs Taurus Control De Voz,[],COMPLETE,MEDIUM,PRODUCT,Ventilador Inteligente Wifi Magnüs Taurus Control De Voz,
MLB40543976,2024-09-10T12:18:44Z,MLB40543976,MLB-FANS,"Ventilador Inteligente Dreo Para Quarto, Oscilando 120°, 8 V",[],COMPLETE,MEDIUM,PRODUCT,"Ventilador Inteligente Dreo Para Quarto, Oscilando 120°, 8 V",
MLB48710929,2025-04-18T04:09:43Z,MLB48710929,MLB-FANS,Ventilador inteligente Windmill com controle remoto e Wi-Fi,[],COMPLETE,MEDIUM,PRODUCT,Ventilador inteligente Windmill com controle remoto e Wi-Fi,
MLB60176792,2025-10-16T07:00:06Z,MLB60176792,MLB-FANS,Ventilador inteligente com luzes e controle remoto para casa,[],COMPLETE,MEDIUM,PRODUCT,Ventilador inteligente com luzes e controle remoto para casa,
MLB48848053,2025-04-19T23:20:47Z,MLB48848053,MLB-FANS,Ventilador inteligente de moinho de vento com controle remoto de 20 cm,[],COMPLETE,MEDIUM,PRODUCT,Ventilador inteligente de moinho de vento com controle remoto de 20 cm,
MLB38347793,2024-07-17T12:58:11Z,MLB38347793,MLB-FANS,Ventilador de teto inteligente com classificação inteligente,[],COMPLETE,MEDIUM,PRODUCT,Ventilador de teto inteligente com classificação inteligente,
MLB38264333,2024-07-14T21:20:32Z,MLB38264333,MLB-FANS,"Ventilador de teto inteligente com luzes, ventilador Tec",[],COMPLETE,MEDIUM,PRODUCT,"Ventilador de teto inteligente com luzes, ventilador Tec",
MLB38532151,2024-07-22T21:20:23Z,MLB38532151,MLB-FANS,"Ventilador de teto inteligente com luzes, ventilador Tec",[],COMPLETE,MEDIUM,PRODUCT,"Ventilador de teto inteligente com luzes, ventilador Tec",
MLB47457839,2025-03-28T05:48:08Z,MLB47457839,MLB-FANS,Ventilador doméstico inteligente com iluminação,[],COMPLETE,MEDIUM,PRODUCT,Ventilador doméstico inteligente com iluminação,
MLB36860729,2024-05-13T14:01:08Z,MLB36860729,MLB-FANS,Designers Fountain Cassini - Ventilador de teto inteligente,[],COMPLETE,MEDIUM,PRODUCT,Designers Fountain Cassini - Ventilador de teto inteligente,
MLB46028773,2025-02-11T04:56:21Z,MLB46028773,MLB-FANS,Ventilador de teto inteligente compatível com Alexa,[],COMPLETE,MEDIUM,PRODUCT,Ventilador de teto inteligente compatível com Alexa,
MLB62124393,2025-11-13T19:06:39Z,MLB62124393,MLB-FANS,Grande ventilador de teto inteligente com luzes,[],COMPLETE,MEDIUM,PRODUCT,Grande ventilador de teto inteligente com luzes,
MLB36440860,2024-05-01T23:00:18Z,MLB36440860,MLB-FANS,Ventilador de mesa inteligente 2 em 1,[],COMPLETE,MEDIUM,PRODUCT,Ventilador de mesa inteligente 2 em 1,
MLB60004306,2025-10-13T02:05:55Z,MLB60004306,MLB-FANS,Ventilador de vidro inteligente com luz ajustável,[],COMPLETE,MEDIUM,PRODUCT,Ventilador de vidro inteligente com luz ajustável,
MLB38607495,2024-07-23T18:39:07Z,MLB38607495,MLB-FANS,"Ventilador de pedestal Dreo com controle inteligente, altura",[],COMPLETE,MEDIUM,PRODUCT,"Ventilador de pedestal Dreo com controle inteligente, altura",
MLB32041012,2024-02-04T05:31:54Z,MLB32041012,MLB-FANS,Ventilador Piso Inteligente Taurus Versüs 20 3 Velocidades,[],COMPLETE,MEDIUM,PRODUCT,Ventilador Piso Inteligente Taurus Versüs 20 3 Velocidades,
MLB47385600,2025-03-24T20:07:10Z,MLB47385600,MLB-FANS,Ventilador de pedestal oscilante inteligente Technical Pro 3,[],COMPLETE,MEDIUM,PRODUCT,Ventilador de pedestal oscilante inteligente Technical Pro 3,
MLB23494147,2023-05-28T12:23:42Z,MLB23494147,MLB-FANS,Ventilador WiFi inteligente à prova d'água Masterfan Aqua 52,[],COMPLETE,MEDIUM,PRODUCT,Ventilador WiFi inteligente à prova d'água Masterfan Aqua 52,
MLB35472889,2024-04-08T05:16:45Z,MLB35472889,MLB-FANS,"Ventilador de teto inteligente, branco F787-WHF Minka-aire",[],COMPLETE,MEDIUM,PRODUCT,"Ventilador de teto inteligente, branco F787-WHF Minka-aire",
MLB46164967,2025-02-17T21:17:21Z,MLB46164967,MLB-FANS,Ventilador de teto inteligente Lumary com luz Ribai - Compa,[],COMPLETE,MEDIUM,PRODUCT,Ventilador de teto inteligente Lumary com luz Ribai - Compa,
MLB53366520,2025-08-03T20:32:15Z,MLB53366520,MLB-FANS,Coleção Madera - Ventilador de teto inteligente de 3 Aspp,[],COMPLETE,MEDIUM,PRODUCT,Coleção Madera - Ventilador de teto inteligente de 3 Aspp,
MLB60025940,2025-10-13T03:50:17Z,MLB60025940,MLB-FANS,Promonta ventilador de teto inteligente de 52 polegadas com,[],COMPLETE,MEDIUM,PRODUCT,Promonta ventilador de teto inteligente de 52 polegadas com,
MLB36389764,2024-04-30T21:03:10Z,MLB36389764,MLB-FANS,Ventilador de teto inteligente Duckbeer Orb de 56 polegadas,[],COMPLETE,MEDIUM,PRODUCT,Ventilador de teto inteligente Duckbeer Orb de 56 polegadas,
MLB44846545,2024-12-17T06:26:28Z,MLB44846545,MLB-FANS,Ventilador de teto inteligente Roomratv de 52 polegadas com,[],COMPLETE,MEDIUM,PRODUCT,Ventilador de teto inteligente Roomratv de 52 polegadas com,
MLB49322713,2025-05-10T05:43:29Z,MLB49322713,MLB-FANS,Controle Inteligente de Ventilador de Teto Ge Cync Bluetooth,[],PRIMITIVE,MEDIUM,PRODUCT,Controle Inteligente de Ventilador de Teto Ge Cync Bluetooth,
MLB48199444,2025-04-13T17:07:15Z,MLB48199444,MLB-FANS,Ventilador de teto inteligente Elehinser de 54 polegadas com,[],COMPLETE,MEDIUM,PRODUCT,Ventilador de teto inteligente Elehinser de 54 polegadas com,
MLB38182044,2024-07-12T09:39:14Z,MLB38182044,MLB-FANS,Ventilador de torre inteligente Goveelife 2023 compatível com W,[],COMPLETE,MEDIUM,PRODUCT,Ventilador de torre inteligente Goveelife 2023 compatível com W,
MLB38530575,2024-07-22T20:53:07Z,MLB38530575,MLB-FANS,Ventilador de pedestal inteligente Ofuzzi Breeze 10 Pro+ Osc,[],COMPLETE,MEDIUM,PRODUCT,Ventilador de pedestal inteligente Ofuzzi Breeze 10 Pro+ Osc,
MLB41961651,2024-10-15T06:26:56Z,MLB41961651,MLB-FANS,"Ventilador de pedestal inteligente Ofuzzi Breeze 10, 39 Vent",[],COMPLETE,MEDIUM,PRODUCT,"Ventilador de pedestal inteligente Ofuzzi Breeze 10, 39 Vent",
MLB48058975,2025-04-13T04:53:32Z,MLB48058975,MLB-FANS,Ventilador de teto Lâmpada de ventilador de teto Controle remoto moderno Estrutura LED inteligente branca MERION,[],COMPLETE,MEDIUM,PRODUCT,Ventilador de teto Lâmpada de ventilador de teto Controle remoto moderno Estrutura LED inteligente branca MERION,
MLB42137736,2024-10-19T18:33:49Z,MLB42137736,MLB-FANS,Okeli Alexa Ventilador De Teto Inteligente Com Luzes E Contr,[],COMPLETE,MEDIUM,PRODUCT,Okeli Alexa Ventilador De Teto Inteligente Com Luzes E Contr,
MLB62221449,2025-11-16T15:58:40Z,MLB62221449,MLB-FANS,Ventilador de teto inteligente 54 polegadas de latão acetinado L,[],COMPLETE,MEDIUM,PRODUCT,Ventilador de teto inteligente 54 polegadas de latão acetinado L,
MLB19714192,2022-10-25T13:06:02Z,MLB19714192,MLB-FANS,Ventilador de teto WiFi inteligente Masterfan Cava de 52 polegadas,[],COMPLETE,MEDIUM,PRODUCT,Ventilador de teto WiFi inteligente Masterfan Cava de 52 polegadas,
MLB36205181,2024-04-25T13:10:39Z,MLB36205181,MLB-FANS,Ventilador de teto inteligente de 3 pás Modern Forms para,[],COMPLETE,MEDIUM,PRODUCT,Ventilador de teto inteligente de 3 pás Modern Forms para,
MLB38887046,2024-08-03T04:09:42Z,MLB38887046,MLB-FANS,Ventilador de teto inteligente de 3 pás Modern Forms para,[],COMPLETE,MEDIUM,PRODUCT,Ventilador de teto inteligente de 3 pás Modern Forms para,
MLB38580551,2024-07-23T12:01:54Z,MLB38580551,MLB-FANS,Ventilador de teto inteligente Horevo com luzes e alto-falante B,[],COMPLETE,MEDIUM,PRODUCT,Ventilador de teto inteligente Horevo com luzes e alto-falante B,
MLB38652768,2024-07-26T10:16:21Z,MLB38652768,MLB-FANS,Luz de ventilador de teto Vedd® com controle remoto inteligente,[],COMPLETE,MEDIUM,PRODUCT,Luz de ventilador de teto Vedd® com controle remoto inteligente,
MLB54497851,2025-09-03T00:09:35Z,MLB54497851,MLB-FANS,Ventilador de teto inteligente de 52 polegadas com controle de 4 pás,[],COMPLETE,MEDIUM,PRODUCT,Ventilador de teto inteligente de 52 polegadas com controle de 4 pás,
MLB62190038,2025-11-15T06:20:50Z,MLB62190038,MLB-FANS,Ventilador de teto inteligente de 52 polegadas com luzes LED de 12 Vel,[],COMPLETE,MEDIUM,PRODUCT,Ventilador de teto inteligente de 52 polegadas com luzes LED de 12 Vel,
MLB34233483,2024-03-08T04:20:55Z,MLB34233483,MLB-FANS,Ventilador de teto Wifi inteligente retrátil Masterfan Piatto 42 White Structure com lâminas transparentes,[],COMPLETE,MEDIUM,PRODUCT,Ventilador de teto Wifi inteligente retrátil Masterfan Piatto 42 White Structure com lâminas transparentes,
MLB21307953,2023-01-24T21:14:38Z,MLB21307953,MLB-FANS,Ventilador De Piso 20 Smartüs By Taurus Versüs Inteligente Color de la estructura Azul Color de las aspas Blanco,[],COMPLETE,MEDIUM,PRODUCT,Ventilador De Piso 20 Smartüs By Taurus Versüs Inteligente Color de la estructura Azul Color de las aspas Blanco,
MLB34064383,2024-02-24T17:42:19Z,MLB34064383,MLB-FANS,"Ventilador de teto inteligente, lâmpada LED, controle remoto de 18 pés, número de lâminas, 5 estruturas, lâminas brancas, diâmetro branco, 45 cm, frequência, 60 Hz, material da lâmina: plástico",[],COMPLETE,MEDIUM,PRODUCT,"Ventilador de teto inteligente, lâmpada LED, controle remoto de 18 pés, número de lâminas, 5 estruturas, lâminas brancas, diâmetro branco, 45 cm, frequência, 60 Hz, material da lâmina: plástico",
MLB27714646,2023-10-12T23:25:21Z,MLB27714646,MLB-DIGITAL_TEMPERATURE_CONTROLLERS,Termostato Digital T9 Pro Honeywell TH9320WF5003 Smart Home,[],COMPLETE,MEDIUM,PRODUCT,Termostato Digital T9 Pro Honeywell TH9320WF5003 Smart Home,
MLB52688976,2025-07-17T18:59:52Z,MLB52688976,MLB-DIGITAL_TEMPERATURE_CONTROLLERS,Termostato Digital De Aquecimento De Piso Wifi Universal,[],COMPLETE,MEDIUM,PRODUCT,Termostato Digital De Aquecimento De Piso Wifi Universal,
MLB27186156,2023-09-22T12:30:06Z,MLB27186156,MLB-DIGITAL_TEMPERATURE_CONTROLLERS,Termostato digital programável Asus Wi Fi P/ Caldera,[],COMPLETE,MEDIUM,PRODUCT,Termostato digital programável Asus Wi Fi P/ Caldera,
MLB27392034,2023-09-30T04:08:50Z,MLB27392034,MLB-DIGITAL_TEMPERATURE_CONTROLLERS,Fio Para Aquecimento De Piso 100m + Termostato Digital Lcd,[],COMPLETE,MEDIUM,PRODUCT,Fio Para Aquecimento De Piso 100m + Termostato Digital Lcd,
MLB45247937,2025-01-01T18:42:16Z,MLB45247937,MLB-DIGITAL_TEMPERATURE_CONTROLLERS,Termostato Digital Programador Horário Wi-fi Tlz Smart 1516n,[],PRIMITIVE,MEDIUM,PRODUCT,Termostato Digital Programador Horário Wi-fi Tlz Smart 1516n,
MLB45132930,2024-12-26T21:06:54Z,MLB45132930,MLB-DIGITAL_TEMPERATURE_CONTROLLERS,Termostato Digital Programador Horário Wi-fi Tlz Smart 1516n,[],COMPLETE,MEDIUM,PRODUCT,Termostato Digital Programador Horário Wi-fi Tlz Smart 1516n,
MLB54439058,2025-09-01T21:05:54Z,MLB54439058,MLB-DIGITAL_TEMPERATURE_CONTROLLERS,Termostato Digital Controle De Temperatura Com Wi-fi Dtc1201,[],COMPLETE,MEDIUM,PRODUCT,Termostato Digital Controle De Temperatura Com Wi-fi Dtc1201,
MLB44770764,2024-12-14T00:40:45Z,MLB44770764,MLB-DIGITAL_TEMPERATURE_CONTROLLERS,Termostato Digital Boiler Tlz 1516n 2a Geração Tholz Wifi 110/220,[],COMPLETE,MEDIUM,PRODUCT,Termostato Digital Boiler Tlz 1516n 2a Geração Tholz Wifi 110/220,
MLB35846739,2024-04-16T23:20:43Z,MLB35846739,MLB-DIGITAL_TEMPERATURE_CONTROLLERS,Termostato Digital Para Acuario Con Control De Temperatura Inkbird ITC308 WiFi (quarium,[],COMPLETE,MEDIUM,PRODUCT,Termostato Digital Para Acuario Con Control De Temperatura Inkbird ITC308 WiFi (quarium,
MLB29340153,2023-12-27T15:31:27Z,MLB29340153,MLB-DIGITAL_TEMPERATURE_CONTROLLERS,Medidor Temperatura Umidade Wi-fi Sm-wt + sensor SHT40 termômetro termostato digital IE tecnologia,[],COMPLETE,MEDIUM,PRODUCT,Medidor Temperatura Umidade Wi-fi Sm-wt + sensor SHT40 termômetro termostato digital IE tecnologia,
MLB27275775,2023-09-25T07:59:41Z,MLB27275775,MLB-DIGITAL_TEMPERATURE_CONTROLLERS,Termostato Termostato Inteligente 24h On/off Digital Underfl,[],COMPLETE,MEDIUM,PRODUCT,Termostato Termostato Inteligente 24h On/off Digital Underfl,
